Lote,Empresa,Codigo Lote,Production Area,Country,Ha
Lote 11,Cielo Azul,86994,Piura,Peru,24.74
Lote 1,Santa Bernardina Uva,86984,Piura,Peru,80.51
Lote 2,Santa Bernardina Uva,86985,Piura,Peru,66.97
Lote 8,Sol del Sur,86991,Piura,Peru,68.65
Lote 9,Sol del Sur,86992,Piura,Peru,27.41
Lote 39,Sociedad del Sol,87022,Piura,Peru,71.53
Lote 40,Campos Gloriosos,87023,Piura,Peru,5.57
Lote 41,Campos Gloriosos,87024,Piura,Peru,61.84
Lote 43,Fundos Fortaleza,87026,Piura,Peru,
Lote 44,Fundos Fortaleza,87027,Piura,Peru,
Lote 45,Fundos Fortaleza,87028,Piura,Peru,
Lote 6,Uvas del Sabor ,86989,Ica,Peru,215.56
Lote 7,Uvas del Sabor ,86990,Ica,Peru,110.1
Lote 12,Agricultores Unidos,86995,Ica,Peru,152.84
Lote 13,Agricultores Unidos,86996,Ica,Peru,50.93
Lote 14,Agricultores Unidos,86997,Ica,Peru,40.26
Lote 15,Agricultores Unidos,86998,Ica,Peru,62.09
Lote 16,Agricultores Unidos,86999,Ica,Peru,19.49
Lote 17,Agricultores Unidos,87000,Ica,Peru,54.61
Lote 18,Agricultores Unidos,87001,Ica,Peru,
Lote 19,Agricultores Unidos,87002,Ica,Peru,79.51
Lote 21,Andenes de Andrea,87004,Ica,Peru,126.26
Lote 22,Andenes de Andrea,87005,Ica,Peru,1.32
Lote 23,Andenes de Andrea,87006,Ica,Peru,201.3
Lote 24,Andenes de Andrea,87007,Ica,Peru,151.43
Lote 25,Andenes de Andrea,87008,Ica,Peru,114.61
Lote 26,Andenes de Andrea,87009,Ica,Peru,84.47
Lote 27,Andenes de Andrea,87010,Ica,Peru,207.22
Lote 28,Andenes de Andrea,87011,Ica,Peru,221.58
Lote 29,Andenes de Andrea,87012,Ica,Peru,885.21
Lote 30,Andenes de Andrea,87013,Ica,Peru,237.59
Lote 31,Andenes de Andrea,87014,Ica,Peru,169.38
Lote 32,Andenes de Andrea,87015,Ica,Peru,101.03
Lote 33,Andenes de Andrea,87016,Ica,Peru,52.91
Lote 34,Agricultores del Sol,87017,Ica,Peru,249.17
Lote 35,Agricultores del Sol,87018,Ica,Peru,129.08
Lote 36,Agricultores del Sol,87019,Ica,Peru,66.17
Lote 37,Tierra Linda,87020,Ica,Peru,31.63
Lote 38,Tierra Linda,87021,Ica,Peru,35.08
Lote 3,Santa Bernardina Uva,86986,Pisco,Peru,313.27
Lote 4,Santa Bernardina Uva,86987,Pisco,Peru,47.28
Lote 5,Santa Bernardina Uva,86988,Pisco,Peru,72.27
Lote 10,Eden del Norte,86993,Pisco,Peru,76.26
Lote 20,Agricultores Unidos,87003,Pisco,Peru,344.98
Lote 42,Agricultores del Sur,87025,Pisco,,
