Temporada,Date,Time,Form,Location,User,Pass?,Country Origen / Pais de Origen,Production Area / Zona de Producción,Continente,Is it an Emergent Market? / Es Mercado Emergente?,# Inspection / Número de Inspección,Harvest Data / Fecha de Cosecha,Variety / Variedad,Harvest Interval/Dias de Reingreso,Country / Pais,Pre-Inspection Disposition / Disposición de la Inspección Previa,Pallet Count / Cajas por Tarima,Count Clamshell/ # Clamshell's,Clamshell weight / Peso del canasto,Were the weights recorded? / ¿Los pesos fueron registrados?,Average Clamshell weight / Peso promedio del canasto,# Clamshell with Compliance / Canastos en Conformidad,# Clamshell Underweight / Canastos con Bajo Peso,Clamshell Low weight / Canasto con menor peso,Basket Count / Conteo por Canasto,Average Basket Count / Conteo Promedio por Canasto,Total Fruit Inspected / Total de Fruta Inspeccionada,# Sample Brix / # Muestras Brix,Brix1,Brix2,Brix3,Brix4,Brix5,# Sample Acidity / # Muestras Acidez,Acidity / Acidez 1,Acidity / Acidez 2,Acidity / Acidez 3,Acidity / Acidez 4,Acidity / Acidez 5, Semana Inspeccion,Brix6,Brix7,Acidity / Acidez 6,Acidity / Acidez 7,Brix8,Brix9,Brix10,Acidity / Acidez 8,Acidity / Acidez 9,Has it been approved? / ¿Ha sido Aprobado?2,Fecha de Cosecha,PRODUCTION AREA,Lote,Empresa,Production Area,Ha,FUNDO CODE,SKU Code,Fruit Type
2022-2023,8/5/2024,10:26,Formulario Registro Inspeccion Uva,Ica,Mauricio F.,True,Perú,Ica,ASIA CENTRO,Yes / Si,First Inspection,1090066:49:00,AIREN,14,Singapur,Pass_Pasar,100,6,144,Yes / Si,142.5,6,0,,66,64,384,1,13.8,,,,,1,0.3,,,,,2419,,,,,,,,,,,7/5/2024,Piura,Lote 1,Santa Bernardina Uva,Piura,80.51,86984,9102,Generica
2022-2023,31/5/2024,20:01,Formulario Registro Inspeccion Uva,Ica,Guadalupe,False,Perú,Ica,ASIA NORTE,,First Inspection,1090625:19:00,VERDEJO,8,,Pass_Pasar,390,16,149,Yes / Si,144.125,16,0,,51,50.5,808,1,12.3,,,,,1,0.8,,,,,2422,,,,,,,,,,,30/5/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9102,Generica
2022-2023,31/5/2024,20:03,Formulario Registro Inspeccion Uva,Ica,Guadalupe,False,Perú,Ica,ASIA NORTE,,First Inspection,1090625:45:00,VERDEJO,8,,Pass_Pasar,100,9,150,Yes / Si,145.222222,9,0,,47,46.5,418.5,1,11.5,,,,,1,0.98,,,,,2422,,,,,,,,,,,30/5/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9102,Generica
2022-2023,31/5/2024,20:05,Formulario Registro Inspeccion Uva,Ica,Guadalupe,True,Perú,Ica,ASIA NORTE,,First Inspection,1090625:57:00,VERDEJO,8,,Pass_Pasar,75,6,147,Yes / Si,143.5,6,0,,36,34.5,207,1,13.3,,,,,1,0.65,,,,,2422,,,,,,,,,,,30/5/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9103,Generica
2022-2023,12/6/2024,13:16,Formulario Registro Inspeccion Uva,Ica,Gloria A.,False,Perú,Ica,ASIA NORTE,,First Inspection,1090883:54:00,VERDEJO,7,,Pass_Pasar,60,5,149,Yes / Si,145,5,0,,39,37.5,187.5,1,11.5,,,,,1,1.3,,,,,2424,,,,,,,,,,,10/6/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9103,Generica
2022-2023,12/6/2024,18:29,Formulario Registro Inspeccion Uva,Ica,Gloria A.,False,Perú,Ica,ASIA NORTE,,First Inspection,1090885:46:00,VERDEJO,6,,Pass_Pasar,72,5,145.1,Yes / Si,143.26,5,0,,44,42.5,212.5,1,11.5,,,,,1,1.3,,,,,2424,,,,,,,,,,,10/6/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9103,Generica
2022-2023,13/6/2024,12:44,Formulario Registro Inspeccion Uva,Ica,Gloria A.,False,Perú,Ica,ASIA CENTRO,Yes / Si,First Inspection,1090872:00:00,VERDEJO,7,HongKong,Pass_Pasar,84,5,144,Yes / Si,142.84,5,0,,52,49.5,247.5,1,11.2,,,,,1,1.15,,,,,2424,,,,,,,,,,,10/6/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9103,Generica
2022-2023,13/6/2024,13:30,Formulario Registro Inspeccion Uva,Ica,Gloria A.,False,Perú,Ica,ASIA CENTRO,Yes / Si,First Inspection,1090896:00:00,VERDEJO,7,HongKong,Pass_Pasar,100,5,142.9,Yes / Si,141.94,5,0,,50,48.5,242.5,1,11.2,,,,,1,1.15,,,,,2424,,,,,,,,,,,11/6/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9103,Generica
2022-2023,14/6/2024,11:25,Formulario Registro Inspeccion Uva,Ica,Mauricio F.,TRUE,Perú,Ica,ASIA NORTE,,First Inspection,1090931:19:00,VERDEJO,7,,Pass_Pasar,120,7,148,No,,,,,52,49.5,346.5,1,,,,,,,,,,,,2424,,,,,,,,,,,12/6/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9102,Generica
2022-2023,14/6/2024,11:34,Formulario Registro Inspeccion Uva,Ica,Mauricio F.,TRUE,Perú,Ica,ASIA NORTE,,First Inspection,1090907:30:00,VERDEJO,7,,Pass_Pasar,120,5,146,No,,,,,40,39,195,,,,,,,,,,,,,2424,,,,,,,,,,,11/6/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9103,Generica
2022-2023,21/6/2024,18:17,Formulario Registro Inspeccion Uva,Ica,Guadalupe,False,Perú,Ica,ASIA CENTRO,No,First Inspection,1091126:40:00,VERDEJO,7,,Pass_Pasar,160,8,148,Yes / Si,144.75,8,0,,31,30.5,244,1,12.3,,,,,1,0.54,,,,,2425,,,,,,,,,,,20/6/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9103,Generica
2022-2023,21/6/2024,20:32,Formulario Registro Inspeccion Uva,Ica,Guadalupe,False,Perú,Ica,ASIA NORTE,,First Inspection,1091131:48:00,AIREN,7,,Pass_Pasar,390,16,148,Yes / Si,145.3125,16,0,,49,47.5,760,1,14.7,,,,,1,0.81,,,,,2425,,,,,,,,,,,20/6/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9103,Generica
2022-2023,21/6/2024,20:39,Formulario Registro Inspeccion Uva,Ica,Guadalupe,False,Perú,Ica,ASIA NORTE,,First Inspection,1091131:05:00,AIREN,7,,Pass_Pasar,390,16,146,Yes / Si,143.4375,16,0,,51,49,784,1,12.8,,,,,1,1.04,,,,,2425,,,,,,,,,,,20/6/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9103,Generica
2022-2023,21/6/2024,20:17,Formulario Registro Inspeccion Uva,Ica,Guadalupe,False,Perú,Ica,ASIA NORTE,,First Inspection,1091132:16:00,AIREN,7,,Pass_Pasar,390,16,146,Yes / Si,143.625,16,0,,60,60,960,1,14.6,,,,,1,0.83,,,,,2425,,,,,,,,,,,20/6/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9102,Generica
2022-2023,21/6/2024,20:30,Formulario Registro Inspeccion Uva,Ica,Guadalupe,False,Perú,Ica,ASIA NORTE,,Second Inspection,1091132:23:00,AIREN,7,,Pass_Pasar,390,12,146,No,,,,,68,67.5,810,1,14.6,,,,,1,0.83,,,,,2425,,,,,,,,,,,20/6/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9102,Generica
2022-2023,21/6/2024,20:47,Formulario Registro Inspeccion Uva,Ica,Guadalupe,True,Perú,Ica,ASIA CENTRO,No,Second Inspection,1091131:41:00,VERDEJO,7,,Pass_Pasar,160,8,148,Yes / Si,144.75,8,0,,32,31,248,1,12.3,,,,,1,0.54,,,,,2425,,,,,,,,,,,20/6/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9103,Generica
2022-2023,21/6/2024,18:05,Formulario Registro Inspeccion Uva,Pisco,Gloria A.,False,Perú,Pisco,ASIA NORTE,,First Inspection,1091129:45:00,AIREN,7,,Pass_Pasar,390,16,149,Yes / Si,144.375,16,0,,60,60,960,1,14.4,,,,,1,0.77,,,,,2425,,,,,,,,,,,20/6/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9102,Generica
2022-2023,25/6/2024,15:56,Formulario Registro Inspeccion Uva,Pisco,Mauricio F.,True,Perú,Pisco,ASIA NORTE,,First Inspection,1091222:19:00,AIREN,5,,Pass_Pasar,96,12,145,Yes / Si,143.5,12,0,,62,59,708,1,12.9,,,,,1,0.61,,,,,2426,,,,,,,,,,,24/6/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9102,Generica
2022-2023,25/6/2024,15:52,Formulario Registro Inspeccion Uva,Pisco,Mauricio F.,False,Perú,Pisco,ASIA NORTE,,First Inspection,1091222:51:00,AIREN,5,,Pass_Pasar,90,12,149,Yes / Si,144.5,11,1,140.0,44,43,516,1,12.7,,,,,1,1.07,,,,,2426,,,,,,,,,,,24/6/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9103,Generica
2022-2023,27/6/2024,9:24,Formulario Registro Inspeccion Uva,Ica,Mauricio F.,False,Perú,Ica,ASIA CENTRO,Yes / Si,First Inspection,1091217:16:00,VERDEJO,10,HongKong,Pass_Pasar,240,10,149,Yes / Si,143.9,10,0,,29,27.5,275,1,11.7,,,,,1,0.83,,,,,2426,,,,,,,,,,,24/6/2024,Ica,Lote 26,Andenes de Andrea,Ica,84.47,87009,9103,Generica
2022-2023,28/6/2024,11:32,Formulario Registro Inspeccion Uva,Pisco,Mauricio F.,True,Perú,Pisco,ASIA CENTRO,Yes / Si,First Inspection,1091290:43:00,VERDEJO,6,HongKong,Pass_Pasar,80,12,147,Yes / Si,143.416667,12,0,,55,51.5,618,1,10.8,,,,,1,0.93,,,,,2426,,,,,,,,,,,27/6/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9102,Generica
2022-2023,28/6/2024,11:37,Formulario Registro Inspeccion Uva,Pisco,Mauricio F.,True,Perú,Pisco,ASIA CENTRO,Yes / Si,First Inspection,1091291:08:00,VERDEJO,6,HongKong,Pass_Pasar,100,12,145,Yes / Si,142.583333,0,0,,36,35.5,426,1,10.6,,,,,1,1.24,,,,,2426,,,,,,,,,,,27/6/2024,Pisco,Lote 20,Agricultores Unidos,Pisco,344.98,87003,9100,Generica
2022-2023,1/7/2024,21:10,Formulario Registro Inspeccion Uva,Piura,Mauricio F.,True,Perú,Piura,ASIA CENTRO,Yes / Si,First Inspection,1091396:58:00,AIREN,14,Singapur,Pass_Pasar,40,5,143,Yes / Si,142.2,0,0,,42,42,210,1,13.7,,,,,1,0.33,,,,,2427,,,,,,,,,,,1/7/2024,Piura,Lote 1,Santa Bernardina Uva,Piura,80.51,86984,9100,Generica
2022-2023,1/7/2024,21:16,Formulario Registro Inspeccion Uva,Ica,Mauricio F.,True,Perú,Ica,ASIA CENTRO,Yes / Si,First Inspection,1091397:12:00,AIREN,14,Singapur,Pass_Pasar,38,5,144,Yes / Si,142.6,5,0,,42,41.5,207.5,1,14,,,,,1,0.34,,,,,2427,,,,,,,,,,,1/7/2024,Piura,Lote 1,Santa Bernardina Uva,Piura,80.51,86984,9102,Generica
